t,pi,y,i,phi,u,g,v
20,0.02209034243231614,-0.035344313177369004,0.02676271840149573,0.00826678921927456,0.0,0.0,0.0
21,0.02300442608659363,-0.037050881151761667,0.028010359455094096,0.008633600608457718,0.0,0.0,0.0
22,0.024722553017005943,-0.038799269505960556,0.029516989366035248,0.009175145011106051,0.0,0.0,0.0
23,0.026000286538135117,-0.04088451353461848,0.03108846931497842,0.009657450766694149,0.0,0.0,0.0
24,0.02600693943681578,-0.043016123100766475,0.032315148995267835,0.009874929070664942,0.0,0.0,0.0
25,0.027704260562988855,-0.04473540085448573,0.0337989731964175,0.010409110936403383,0.0,0.0,0.0
26,0.029975968767171242,-0.04682223687164953,0.03566183089396805,0.011102346156891684,0.0,0.0,0.0
27,0.031186943843651328,-0.049388446837244096,0.03749014576342276,0.011619248499930415,0.0,0.0,0.0
28,0.0333150419199457,-0.051937815165186176,0.03957678928416834,0.012328915737566792,0.0,0.0,0.0
29,0.03550969263217647,-0.05483973122597085,0.04188544055573776,0.013088430679714009,0.0,0.0,0.0
30,0.03749954628256446,-0.05803605445051522,0.04430339954926928,0.013834361442991541,0.0,0.0,0.0
31,0.03873779031196849,-0.06135603830411559,0.04657277065683247,0.014433451274037674,0.0,0.0,0.0
32,0.03903624678896985,-0.06444374275677461,0.04843405524680247,0.01480971848740195,0.0,0.0,0.0
33,0.039633066425321904,-0.06698772369213914,0.05007012739058437,0.015194138572709322,0.0,0.0,0.0
34,0.0424900463876235,-0.06930020332060988,0.05223366100087327,0.016034350220221906,0.0,0.0,0.0
35,0.04352207003247522,-0.07226836343903519,0.054240626097027136,0.016554049782922898,0.0,0.0,0.0
36,0.04592475376904757,-0.0750690189059935,0.056551889379595134,0.017347413104547914,0.0,0.0,0.0
37,0.047199745910431454,-0.07824549421366689,0.05874954502770723,0.017939748675580135,0.0,0.0,0.0
38,0.047405572264218224,-0.08123290038199842,0.06052613360533232,0.018286207472543364,0.0,0.0,0.0
39,0.04932997474994263,-0.08370544754259822,0.06250911413079666,0.018944895059502875,0.0,0.0,0.0
40,0.050411567454266115,-0.08643034616544264,0.06439079639452945,0.019450447672978658,0.0,0.0,0.0
41,0.05170984527790378,-0.08902494439732135,0.06626093393936396,0.019988739727881524,0.0,0.0,0.0
42,0.052037007858336475,-0.09157210926432412,0.06782003523075111,0.020316302918476425,0.0,0.0,0.0
43,0.05256434638608735,-0.09370396676572118,0.06919901409668676,0.02064421552254444,0.0,0.0,0.0
44,0.05206668111016672,-0.0955579863857046,0.07011882819163065,0.020726617795180147,0.0,0.0,0.0
45,0.05301010700940077,-0.09683639581386953,0.07112904138441374,0.021056251397615168,0.0,0.0,0.0
46,0.05448750923925506,-0.09825488510751883,0.07237577932166195,0.021513311402362595,0.0,0.0,0.0
