t,pi,y,i,phi,u,g,v
22,0.024693314364886934,-0.038899313514098276,0.029559722191839277,0.009175145011106051,9.666290907114812e-06,0.0,0.0
23,0.025981522901193155,-0.040948368251432735,0.031115748462840903,0.009657450766694149,6.116828886022254e-06,0.0,0.0
24,0.02599491399502656,-0.043056847946662286,0.03233254934594818,0.009874929070664942,3.870729319074882e-06,0.0,0.0
25,0.02769656270195626,-0.0447613559647769,0.03381006434011329,0.010409110936403383,2.4493975131105856e-06,0.0,0.0
26,0.02997104636299494,-0.046838768367586506,0.035668895945013455,0.011102346156891684,1.5499787462963787e-06,0.0,0.0
27,0.031183799214410713,-0.04939897016494357,0.03749464357525113,0.011619248499930415,9.808265506563484e-07,0.0,0.0
28,0.033313034732468196,-0.05194451044645131,0.0395796512067132,0.012328915737566792,6.206670412553373e-07,0.0,0.0
29,0.035508412457059615,-0.05484398897551015,0.04188726070192544,0.013088430679714009,3.9275810370637744e-07,0.0,0.0
30,0.03749873036487337,-0.05803876093548747,0.044304556634933885,0.013834361442991541,2.4853732802539566e-07,0.0,0.0
31,0.03873727061775358,-0.0613577580416745,0.046573505936841335,0.014433451274037674,1.572744211744704e-07,0.0,0.0
32,0.03903591596274347,-0.06444483511468589,0.04843452231842361,0.01480971848740195,9.952325371920486e-08,0.0,0.0
33,0.03963285593809712,-0.06698841732184121,0.05007042399093463,0.015194138572709322,6.297831495351285e-08,0.0,0.0
34,0.04248991252905352,-0.06930064363487605,0.05223384929203724,0.016034350220221906,3.985267770258293e-08,0.0,0.0
35,0.04352198494218351,-0.07226864287443611,0.054240745597541634,0.016554049782922898,2.521877445019448e-08,0.0,0.0
36,0.04592469970057011,-0.07506919619992915,0.05655196520269719,0.017347413104547914,1.5958440472083067e-08,0.0,0.0
37,0.04719971156619892,-0.07824560667659294,0.05874959312655621,0.017939748675580135,1.0098501130734165e-08,0.0,0.0
38,0.047405550455867626,-0.08123297170610289,0.06052616411080389,0.018286207472543364,6.39033151552858e-09,0.0,0.0
39,0.0493299609058779,-0.08370549276799362,0.06250913347445043,0.018944895059502875,4.043801783026486e-09,0.0,0.0
40,0.05041155866834069,-0.08643037483721058,0.06439080865830146,0.019450447672978658,2.55891776829916e-09,0.0,0.0
41,0.05170983970341899,-0.08902496257167461,0.06626094171329826,0.019988739727881524,1.6192831637797086e-09,0.0,0.0
42,0.05203700432223609,-0.09157212078297519,0.06782004015788973,0.020316302918476425,1.0246823860397997e-09,0.0,0.0
43,0.05256434414346828,-0.09370397406513041,0.06919901721910567,0.02064421552254444,6.484190138859853e-10,0.0,0.0
44,0.052066679688148404,-0.09555799101081427,0.07011883017012546,0.020726617795180147,4.103195519870515e-10,0.0,0.0
45,0.053010106107869895,-0.09683639874414857,0.07112904263793147,0.021056251397615168,2.596502124974062e-10,0.0,0.0
46,0.054487508667792034,-0.09825488696383752,0.07237578011577428,0.021513311402362595,1.6430665446835865e-10,0.0,0.0
47,0.05573596035210945,-0.09998668176113293,0.07373562580297682,0.021953581213023442,1.0397325094757736e-10,0.0,0.0
48,0.05617510501078863,-0.10184540391274857,0.07493189996178606,0.0222351067206495,6.579427319962697e-11,0.0,0.0
49,0.057041154059680924,-0.10349624317452402,0.0761334847404637,0.022586083724294492,4.163461608072395e-11,0.0,0.0
50,0.0599715497374983,-0.1052218315296874,0.07798126849350555,0.023382373464780164,2.6346385055882114e-11,0.0,0.0
51,0.060224069896298284,-0.10773623569703909,0.0794997345430182,0.02369078831000804,1.6671992463362202e-11,0.0,0.0
52,0.060951403619485166,-0.10981952370721706,0.08090925072829495,0.024056185867688783,1.0550036830815601e-11,0.0,0.0
53,0.061605548098184526,-0.11175264867721665,0.08221110174097856,0.024390842893164653,6.676063306540113e-12,0.0,0.0
54,0.06361135529582941,-0.11358397479880424,0.08384945131782919,0.025001795540736612,4.224612860378583e-12,0.0,0.0
55,0.06524688295234575,-0.11585957685277203,0.08563485915318106,0.02557926539012888,2.6733350180475675e-12,0.0,0.0
56,0.06684922042719711,-0.11833354742979185,0.08752454245529413,0.02616980474715786,1.6916863994205008e-12,0.0,0.0
57,0.06598809524226124,-0.12086834083942437,0.08872928965023648,0.02624414256656268,1.070499153553293e-12,0.0,0.0
58,0.06769067688459858,-0.12255804377816969,0.09019765862236703,0.026776442093254024,6.774118643685238e-13,0.0,0.0
59,0.06878155317472769,-0.12458528060128657,0.09168120587740018,0.027213245751244744,4.2866622777240187e-13,0.0,0.0
60,0.06883821975864018,-0.12659926388053855,0.09285491750043044,0.02742940622207179,2.712599889343759e-13,0.0,0.0
61,0.06981544995038305,-0.12822313958709486,0.0940734998851314,0.027801225580804684,1.7165332099767308e-13,0.0,0.0
62,0.06929518379243976,-0.12985887459951664,0.0948612920700642,0.027856709322618946,1.0862222152732753e-13,0.0,0.0
63,0.07130188703889159,-0.13099301413984735,0.09609932863965626,0.028397182641995554,6.873614178249287e-14,0.0,0.0
64,0.07278255605000718,-0.13272060624581836,0.09752461902311077,0.02888626712265594,4.3496230519961486e-14,0.0,0.0
65,0.07614619521109926,-0.13476378153515875,0.09968147926645514,0.029806616040924775,2.7524414673031628e-14,0.0,0.0
66,0.07737239254674398,-0.1377292440399377,0.10174363659774856,0.0303672158674106,1.7417449605094415e-14,0.0,0.0
67,0.07743841352854176,-0.14052829989872664,0.103371152345618,0.030664937668684892,1.1021762110103746e-14,0.0,0.0
68,0.07877569679640367,-0.1427794493910513,0.10505535663159356,0.031176687466659903,6.974571063273651e-15,0.0,0.0
69,0.07927723320052367,-0.14508013931994673,0.10652379970034528,0.03151624230031572,4.413508568839566e-15,0.0,0.0
70,0.07991409269149649,-0.14709262101485168,0.10786619474941923,0.03185527799827894,2.792868222361678e-15,0.0,0.0
71,0.08066219813184904,-0.14893778430737903,0.10914496421179275,0.032200942932757604,1.7673270111104698e-15,0.0,0.0
72,0.0817624382674671,-0.15070817447380136,0.11048367423678587,0.03261369725653208,1.1183645326307054e-15,0.0,0.0
73,0.08335592612849999,-0.15257600106041463,0.11202250596156464,0.033140919163023634,7.077010762487105e-16,0.0,0.0
74,0.08568104151806198,-0.15473919106488457,0.11394484038328993,0.0338532186633519,4.47833241050184e-16,0.0,0.0
75,0.08715222933713104,-0.15739458334335515,0.11590043611275908,0.03443433784829089,2.8338887493655646e-16,0.0,0.0
76,0.08893170604719543,-0.1601051751440374,0.11797783657736934,0.03508642360004634,1.7932848005985295e-16,0.0,0.0
77,0.09066273068549238,-0.1629793848402423,0.12013508633443638,0.03574482019277026,1.1347906218187495e-16,0.0,0.0
78,0.09177562301319718,-0.16594166825220186,0.12216230666942844,0.03628107193098037,7.180955054869047e-17,0.0,0.0
79,0.09312822951657014,-0.1687354368376158,0.12416275547443671,0.036851072771719826,4.5441083587211336e-17,0.0,0.0
