t,pi,y,i,phi,u,g,v
24,-1.6892294015877385e-06,-3.5337532599120918e-06,1.5367168471285634e-06,0.0,0.0,0.0,0.0
25,-9.809805446197994e-07,-2.052144720073121e-06,8.924124385981452e-07,0.0,0.0,0.0,0.0
26,-5.696815530312537e-07,-1.1917351445835671e-06,5.182476928347624e-07,0.0,0.0,0.0,0.0
27,-3.3082926429482113e-07,-6.92072367481476e-07,3.009602505658222e-07,0.0,0.0,0.0,0.0
28,-1.9212137295210625e-07,-4.0190487291434333e-07,1.7477564043786685e-07,0.0,0.0,0.0,0.0
29,-1.1157000280395119e-07,-2.3339687359590745e-07,1.0149687353408741e-07,0.0,0.0,0.0,0.0
30,-6.479167483763919e-08,-1.3553978634131635e-07,5.89419401432935e-08,0.0,0.0,0.0,0.0
31,-3.7626252780892634e-08,-7.871156711917421e-08,3.422915590290385e-08,0.0,0.0,0.0,0.0
32,-2.1850568022501453e-08,-4.570990530230533e-08,1.9877783306367934e-08,0.0,0.0,0.0,0.0
33,-1.2689207338457587e-08,-2.6544960533973942e-08,1.1543558663723838e-08,0.0,0.0,0.0,0.0
34,-7.368960967630386e-09,-1.5415366211985933e-08,6.703652241754002e-09,0.0,0.0,0.0,0.0
35,-4.279352074095802e-09,-8.952114098851226e-09,3.892989561320997e-09,0.0,0.0,0.0,0.0
36,-2.4851338274840743e-09,-5.198731300754909e-09,2.2607628167461243e-09,0.0,0.0,0.0,0.0
37,-1.4431834617885623e-09,-3.0190418530207326e-09,1.3128852346183924e-09,0.0,0.0,0.0,0.0
38,-8.380951083381305e-10,-1.753238085024191e-09,7.624274543580098e-10,0.0,0.0,0.0,0.0
39,-4.867041711729443e-10,-1.0181520934212048e-09,4.4276194737447593e-10,0.0,0.0,0.0,0.0
40,-2.8264208665631875e-10,-5.91268062331465e-10,2.571236658941001e-10,0.0,0.0,0.0,0.0
41,-1.641377943339041e-10,-3.433651256940236e-10,1.493185671326552e-10,0.0,0.0,0.0,0.0
42,-9.531919272007931e-11,-1.9940128184494782e-10,8.671327243650991e-11,0.0,0.0,0.0,0.0
43,-5.535439621129889e-11,-1.1579763996428587e-10,5.035670888783918e-11,0.0,0.0,0.0,0.0
44,-3.214577350561213e-11,-6.724677643609703e-11,2.924348324959427e-11,0.0,0.0,0.0,0.0
45,-1.8667907609896175e-11,-3.9051995726692894e-11,1.6982470289590772e-11,0.0,0.0,0.0,0.0
46,-1.084095159417392e-11,-2.267853495827961e-11,9.862173212243266e-12,0.0,0.0,0.0,0.0
47,-6.2956295865166685e-12,-1.3170029809830286e-11,5.7272268880637864e-12,0.0,0.0,0.0,0.0
48,-3.65603992844359e-12,-7.648187394419602e-12,3.3259533290938625e-12,0.0,0.0,0.0,0.0
49,-2.1231598483813403e-12,-4.441506303690946e-12,1.9314697607606544e-12,0.0,0.0,0.0,0.0
50,-1.2329755226983236e-12,-2.5793011112829087e-12,1.1216559787834405e-12,0.0,0.0,0.0,0.0
51,-7.16021754429936e-13,-1.4978689137819514e-12,6.513755277458584e-13,0.0,0.0,0.0,0.0
52,-4.1581292035297323e-13,-8.6985240810383e-13,3.782711331921797e-13,0.0,0.0,0.0,0.0
53,-2.414736475012878e-13,-5.05146481726223e-13,2.1967213091604446e-13,0.0,0.0,0.0,0.0
54,-1.4023018425709021e-13,-2.9335202802579655e-13,1.2756946239585117e-13,0.0,0.0,0.0,0.0
55,-8.143540622449329e-14,-1.7035734279049707e-13,7.408298753284349e-14,0.0,0.0,0.0,0.0
56,-4.729171128228715e-14,-9.893105030822163e-14,4.302196574883375e-14,0.0,0.0,0.0,0.0
57,-2.7463557433996482e-14,-5.745189819686387e-14,2.4984002380752567e-14,0.0,0.0,0.0,0.0
58,-1.594881991958964e-14,-3.3363848823391143e-14,1.4508876200720113e-14,0.0,0.0,0.0,0.0
