t,pi,y,i,phi,u,g,v
59,-1.5099770696746083e-12,-4.882905484476108e-12,2.0891346096525328e-12,0.0,4.2866622777240187e-13,0.0,0.0
60,-9.559968717186512e-13,-3.0909137929730288e-12,1.3224441207334692e-12,0.0,2.712599889343759e-13,0.0,0.0
61,-6.052355332534419e-13,-1.956517480381426e-12,8.370980081927504e-13,0.0,1.7165332099767308e-13,0.0,0.0
62,-3.831560628662719e-13,-1.2384252829713026e-12,5.298639189336632e-13,0.0,1.0862222152732753e-13,0.0,0.0
63,-2.4255582514528343e-13,-7.838735592739289e-13,3.353840092866878e-13,0.0,6.873614178249287e-14,0.0,0.0
64,-1.535443027104181e-13,-4.961501955376222e-13,2.1228101406096152e-13,0.0,4.3496230519961486e-14,0.0,0.0
65,-9.719476110821687e-14,-3.140306314999723e-13,1.3436046957102138e-13,0.0,2.7524414673031628e-14,0.0,0.0
66,-6.152338531359001e-14,-1.9875736904801479e-13,8.504017169598104e-14,0.0,1.7417449605094415e-14,0.0,0.0
67,-3.894276517992707e-14,-1.2579618686952474e-13,5.3823215505262204e-14,0.0,1.1021762110103746e-14,0.0,0.0
68,-2.464923446277109e-14,-7.961690718492917e-14,3.406501890574467e-14,0.0,6.974571063273651e-15,0.0,0.0
69,-1.560166665259306e-14,-5.038917484906278e-14,2.155964721461066e-14,0.0,4.413508568839566e-15,0.0,0.0
70,-9.874843325356631e-15,-3.189068103398169e-14,1.3644863043350878e-14,0.0,2.792868222361678e-15,0.0,0.0
71,-6.2500254157709375e-15,-2.0182984653635777e-14,8.635583333618103e-15,0.0,1.7673270111104698e-15,0.0,0.0
72,-3.955727217436985e-15,-1.2773280333589233e-14,5.4652440628858414e-15,0.0,1.1183645326307054e-15,0.0,0.0
73,-2.5035971578609678e-15,-8.083795710069661e-15,3.4587821321263637e-15,0.0,7.077010762487105e-16,0.0,0.0
74,-1.5845161068924464e-15,-5.115927623787773e-15,2.1889355059036745e-15,0.0,4.47833241050184e-16,0.0,0.0
75,-1.0028210654433887e-15,-3.237650350000294e-15,1.385285086835317e-15,0.0,2.8338887493655646e-16,0.0,0.0
76,-6.346660497574598e-16,-2.0489543359987775e-15,8.766819802616788e-16,0.0,1.7932848005985295e-16,0.0,0.0
77,-4.0166364519430397e-16,-1.2966765595873238e-15,5.548070854162457e-16,0.0,1.1347906218187495e-16,0.0,0.0
78,-2.542000307757926e-16,-8.205939866502095e-16,3.5110673711811707e-16,0.0,7.180955054869047e-17,0.0,0.0
79,-1.6087361943147517e-16,-5.193050108663029e-16,2.221947530899391e-16,0.0,4.5441083587211336e-17,0.0,0.0
