# Peg-length robustness for the SAME sterilising device. scenario_a=1 is the default H only. H=40 is a robustness case, not the baseline. stoch_simul is not in this file.
H,scenario_a,quarter,y,ph,cs,cb,ib,ib_nom,ib_il,rl_bp,i_bp
40,0,1,-0.39614535,-0.75736373,-0.54799023,-0.30248808,-0.034513656,0.022331211,-0.056844867,100,2.0931668e-15
40,0,2,-0.49629162,-1.3440403,-0.72903449,-0.5135863,-0.023445775,0.042554945,-0.06600072,90.020569,9.7066842e-15
40,0,3,-0.5368005,-1.7878219,-0.76210857,-0.67558608,-0.00040492161,0.060557086,-0.060962008,81.039661,7.0043723e-15
40,0,4,-0.54988542,-2.1144565,-0.73767688,-0.79928723,0.024416136,0.076451554,-0.052035418,72.957442,-2.181402e-14
40,0,5,-0.54943635,-2.3460201,-0.69289935,-0.89195888,0.048002956,0.090409484,-0.042406528,65.68406,-7.6755657e-15
40,0,6,-0.54167442,-2.5009332,-0.64285798,-0.95902934,0.069551929,0.1026076,-0.033055673,59.138647,2.7086157e-14
40,0,7,-0.5295718,-2.594405,-0.5935105,-1.0048343,0.088940535,0.11321321,-0.024272677,53.248425,1.8166316e-14
40,0,8,-0.5146915,-2.6389377,-0.54705942,-1.0329691,0.10625241,0.12238046,-0.016128042,47.947893,-2.0692476e-14
40,0,9,-0.49795823,-2.6447845,-0.50417534,-1.0464713,0.12162858,0.13025003,-0.0086214465,43.178101,-5.1394282e-14
40,0,10,-0.47998561,-2.6203417,-0.4649161,-1.047929,0.13522051,0.13694991,-0.0017294026,38.885994,-5.6806154e-14
40,0,11,-0.46121858,-2.5724748,-0.4291058,-1.0395538,0.14717542,0.14259638,0.0045790381,35.023824,-8.6813662e-14
40,0,12,-0.44199832,-2.5067884,-0.39648997,-1.0232359,0.1576319,0.147295,0.010336899,31.548618,-3.1859659e-14
40,0,13,-0.42259421,-2.427848,-0.36679832,-1.0005885,0.16671888,0.15114157,0.01557731,28.4217,-3.5300677e-14
40,0,14,-0.40322146,-2.3393631,-0.33976918,-0.97298527,0.17455574,0.15422302,0.020332727,25.608263,1.7727281e-14
40,0,15,-0.38405209,-2.2443377,-0.31515835,-0.94159219,0.18125279,0.15661822,0.024634572,23.076981,2.6809738e-14
40,0,16,-0.36522276,-2.1451945,-0.29274147,-0.90739564,0.18691177,0.15839871,0.028513065,20.799663,1.2957923e-14
40,0,17,-0.3468407,-2.0438768,-0.27231388,-0.87122635,0.19162646,0.15962934,0.031997118,18.750934,1.0976823e-14
40,0,18,-0.3289885,-1.9419333,-0.25368949,-0.83378055,0.19548323,0.16036894,0.035114296,16.90796,-3.5811245e-14
40,0,19,-0.31172818,-1.8405878,-0.23669945,-0.79563835,0.19856158,0.16067079,0.037890786,15.250192,-6.0760642e-14
40,0,20,-0.29510451,-1.7407968,-0.22119059,-0.75727981,0.20093461,0.16058321,0.040351402,13.759133,-5.8333374e-14
40,0,21,-0.27914793,-1.6432974,-0.20702412,-0.71909894,0.20266954,0.16014995,0.042519594,12.418139,-4.6481814e-14
